rank,gene,variance_log2,mean_log2
1,CLEC3A,26.902210958637383,4.752621980126538
2,CPB1,26.596434590707656,6.52252339856803
3,SCGB2A2,25.277208683000836,9.511542734181445
4,SCGB1D2,20.03965253185348,7.3337083121001125
5,TFF1,19.75874231672011,8.48707106421842
6,GSTM1,18.73585917123013,5.627701320518382
7,PIP,18.160858552280573,8.381257227746284
8,S100A7,17.708833384977964,3.6019501594283603
9,MUCL1,17.599928344922375,7.1935643358922805
10,CYP2B7P1,17.357565414094125,7.7726779425779675
11,ANKRD30A,17.058843902706492,6.851802232155906
12,PRAME,16.73982237197695,4.820765064701886
13,CYP4Z1,16.641475040856786,6.5190122166315145
14,KCNJ3,16.39821798549112,4.501378122049243
15,AGR3,16.397771205767587,8.897710124306768
16,HMGCS2,16.352374341319535,5.949268452578933
17,TFAP2B,16.04463668619874,7.550370063793491
18,SERPINA6,15.963882344016136,3.6350724725125887
19,MUC6,15.877342327441792,4.746185580134296
20,DHRS2,15.496584693546648,7.293504096568595
21,UGT2B11,15.070628861540902,3.5273208159204517
22,SLC30A8,15.048931266612763,4.516913573993455
23,C4orf7,14.602711808011819,4.370026729756974
24,VSTM2A,14.554383721142825,3.024692824053248
25,COL2A1,14.496534659635309,5.205473248445404
26,TAT,14.28795753221234,4.714348250553777
27,ADH1B,14.287706009438807,6.918337761340989
28,ADIPOQ,14.269476677328905,6.634119632019421
29,CALML5,13.861358901377978,6.737499356900384
30,GABRP,13.810638309489429,7.874298627942237
31,MYBPC1,13.787828586943228,4.756146706523319
32,KRT14,13.703738670503604,8.604787650887616
33,GP2,13.680493291077706,6.163928122343754
34,CEACAM5,13.54754921277725,6.659417431270955
35,SOX10,13.440684408396233,5.6364604792301645
36,TFF3,13.418394647826348,9.896009811901386
37,MUC5B,13.415999857757654,8.14430022227434
38,C1orf64,13.363331964459803,6.720577574294824
39,GRIA2,13.326353770900807,3.7174442279590103
40,KRT5,13.254443318040664,9.204412708432674
41,CRABP1,13.097784364866882,5.503762163554269
42,GSTT1,13.080056623397637,7.450835304165072
43,STAC2,12.836496043714106,6.312306550201284
44,SYT13,12.82371373148215,7.469503337750433
45,CST9,12.730478850489666,3.5344413736083906
46,KRT6B,12.694184792022565,6.941326553759217
47,LTF,12.684935890545468,11.001849107409537
48,BMPR1B,12.611574770991142,8.792533570437195
49,HOXB13,12.352426621234532,3.5470442615605737
50,KLK11,12.330059922453895,3.9887097152671673
51,FABP7,12.320825656024317,3.4994474326998937
52,CYP2A6,12.229802754431192,3.1324686319357715
53,NPY1R,12.179396844617777,8.636086053919557
54,GFRA1,12.103006201274614,10.782812764817562
55,CEACAM6,12.039902937776926,8.918582306789697
56,CRISP3,12.004153990387302,4.384944991854384
57,ABCC11,11.994811898346043,7.5593168294341355
58,C20orf114,11.956773521409334,6.265373135753993
59,CLCA2,11.89941911216853,5.155890492936786
60,KIF1A,11.813902664484177,4.430795296150075
61,LRP2,11.762612842873429,8.62772214945313
62,AGR2,11.739230051538433,11.53032562141098
63,PVALB,11.708188918996367,3.7652213380946775
64,PGR,11.668494929024545,8.97522473221605
65,TCN1,11.644965370951526,4.817349774317912
66,OBP2B,11.638759870488107,3.6881666400262345
67,CP,11.634697474260024,7.8573098580502485
68,OLFM4,11.54566459437116,4.747728381187574
69,SLC34A2,11.5389654407712,6.670093471644272
70,KRT6A,11.483950609735789,4.12798843249787
71,CGA,11.475672135496243,2.537912758151983
72,KCNC2,11.467104545388908,2.5813108594387835
73,KLK5,11.409803993437084,5.344724553305133
74,MUC16,11.39882131077232,5.565075463785739
75,CYP4F8,11.304177508263002,3.3677140252917344
76,PROM1,11.284949194855727,7.873282498911092
77,MSLN,11.26779570150478,3.623924737491273
78,KRT16,11.251289950815071,6.115304571172955
79,DSG3,11.193531740659349,5.704927121878629
80,A2ML1,11.177870585879544,3.4212302243068007
81,BPIL1,11.116984694988972,4.226931212212859
82,FAM5C,11.105294419914628,2.3518280271113303
83,SLC5A8,10.994264575726705,2.8638407404858848
84,CBLN2,10.989939506294732,3.8731053245715286
85,PIGR,10.921174341168438,6.824623930304375
86,SERPINA11,10.911775459288508,5.859728556473707
87,PTPRT,10.878887832877327,8.031323246125035
88,NLRP2,10.87324160196951,7.137517217249329
89,AQP5,10.863612164484861,4.389295966262515
90,ELF5,10.841392999115946,6.52628818665091
91,KRT81,10.840746146273462,6.531071313720253
92,KRT17,10.751346444905609,9.23200404737576
93,VGLL1,10.67899019593124,3.6046807502066405
94,CA9,10.637011970564819,3.4068549872001745
95,BEX1,10.601060490104363,3.8211559660865166
96,CST1,10.493028876615282,6.562559202360652
97,TUSC5,10.46173446421382,4.617679427916208
98,LBP,10.39997140283993,4.343320486085326
99,SLC6A4,10.386766795256674,4.150017348511258
100,KLK6,10.38389037048165,4.589506156282745
101,KLK10,10.376570609330772,5.012393674880944
102,PPP1R1B,10.348421110214579,8.646913052159842
103,CYP4Z2P,10.331565027099051,6.216273665020183
104,NXPH1,10.290612098498729,2.7818855356260106
105,KLHDC7A,10.245574620379765,6.337906257346692
106,LRRC31,10.208913708473878,3.933703111221828
107,SLITRK6,10.208678984025836,7.828189698349244
108,ESR1,10.196325770734976,11.659784946187846
109,C10orf82,10.18945445575061,4.228242398586012
110,EEF1A2,10.112311974463415,8.914506680573998
111,PPP2R2C,10.099775960453243,6.853602872726948
112,DCD,10.084449304437662,1.7245018254749136
113,SYT9,10.034617695990878,5.430142066563686
114,ANKRD30B,9.959944016912337,5.1839457187130185
115,SCGB2A1,9.936037646624905,5.348719822722915
116,GRPR,9.931468170410174,5.723505807617672
117,ORM1,9.926587856400843,3.4058373257647756
118,CALML3,9.88434708375726,5.4180471104796375
119,FABP4,9.822755769116762,7.684889841412646
120,TNNT1,9.789482054590263,7.023856915104574
121,KLK7,9.788194197475287,4.410219979132181
122,CHAD,9.779589631495567,7.220570703940941
123,MAGEA6,9.777758145375488,1.5678977455732266
124,SORCS1,9.76575506676524,4.5663698676288735
125,CST5,9.723568091964564,2.268206897971186
126,MUC2,9.706951402476491,1.9827503684049308
127,ASCL1,9.697201847153213,2.404737742118991
128,CDC20B,9.681659140531877,2.7072991420344916
129,PDZK1,9.669815187867062,6.513730192728472
130,CLIC6,9.614089224643013,7.921223347730866
131,CXCL17,9.568951102546547,5.908663085455175
132,SLC6A14,9.534702661843774,4.5420323086468075
133,RPS28,9.482016815110994,6.82684269909152
134,DIO1,9.431960983047691,5.202071142103105
135,PEG10,9.389725742317198,9.93676726751254
136,NBPF4,9.32837639874695,4.598508888709276
137,CARTPT,9.32803457790867,1.2114152097006738
138,SPAG6,9.295085937400358,2.809242574291638
139,CNTNAP2,9.287382262597387,7.475818042000817
140,C7,9.281301180166665,6.642516467057335
141,ABCC8,9.275255295388611,5.649733565781049
142,CASP14,9.274565996010539,2.1335586418510393
143,WNK4,9.270110127987769,7.590912912614233
144,SDR16C5,9.262542947491543,6.595108763502249
145,FOXI1,9.248945631142886,5.744750265317088
146,PYDC1,9.215847544576084,3.4250833442260666
147,LCN2,9.156184906535824,5.911612798140939
148,CIDEC,9.151653752249235,4.690869328274699
149,MUC15,9.151630861930833,4.614635895348984
150,SCUBE2,9.09093044223331,10.786295101993462
151,PPAN-P2RY11,9.087307789014119,4.693622739222743
152,S100A7A,9.070310830542752,1.932651598739946
153,S100A8,9.05649399152346,6.270704369496084
154,MIA,9.055912319889623,4.840698204796682
155,PGLYRP2,9.05432616311906,4.605641001484034
156,ABCA12,9.045721049360225,6.696558097721358
157,SCGB3A1,9.014249696000567,3.980570038634567
158,FOLR1,8.99796328205922,4.796623184632453
159,DSC3,8.979848964715242,6.655294932178244
160,CAPN8,8.951793842575126,6.738276374880272
161,CXCL13,8.90215748852368,6.9260433335625216
162,C2orf54,8.901452581460452,5.77450794109706
163,MSMB,8.878879979200962,4.341211393566924
164,IGSF1,8.874306196023003,4.505310145945189
165,S100A9,8.858277365519227,8.110318390836666
166,LRP1B,8.803079160782389,3.6936552089167223
167,MAGEA3,8.80201246156918,1.4303231827548064
168,TMPRSS4,8.772470742579054,4.3307365732089185
169,LY6D,8.767852929613788,2.702695928873131
170,SERPINA5,8.710257551803577,8.563445755259963
171,GLYATL2,8.70309094791575,5.930455594118881
172,HS6ST3,8.675833361677304,6.003839935977356
